Station,Elevation
776.7,17.4
800.7,5
814,0
824,-5
867,-5
879,-4
892,-5
906,-6
933,-7
956,-8
1028,-8.7
1083,-8
1156,-8
1185,-7
1205,-6.5
1241,-6
1275,0
1297.9,3
1301.3,5
1321.3,16.8
