Station,Elevation,Station ,Elevation ,,,,
434.52,96.6,434.52,96.6,,,,
437.52,96.6,437.52,96.6,,,,
440.52,96.6,440.52,96.6,,,,
443.52,96.6,443.52,96.6,,,,
446.52,96.6,446.52,96.6,,,,
449.52,96.6,449.52,96.6,,,,
452.52,96.6,452.52,96.6,,,,
455.52,96.6,455.52,96.6,,,,
458.52,96.6,458.52,96.6,,,,
461.52,96.6,461.52,96.6,,,,
464.52,96.6,464.52,96.6,,,,
467.52,96.6,467.52,96.6,,,,
470.52,96.6,470.52,96.6,,,,
473.52,96.6,473.52,96.6,,,,
476.52,96.6,476.52,96.6,,,,
479.52,96.6,479.52,96.6,,,,
482.52,96.6,482.52,96.6,,,,
485.52,96.6,485.52,96.6,,,,
488.52,96.6,488.52,96.6,,,,
491.52,96.6,491.52,96.6,,,,
494.52,96.6,494.52,96.6,,,,
497.52,96.6,497.52,96.6,,,,
500.52,96.6,500.52,96.6,,,,
504.6,96.6,504.6,96.6,,,,
505.35,96.7,505.35,96.7,,,559.99,115.8
507.35,97.434615,507.35,97.434615,,,,
509.35,98.16923,509.35,98.16923,,,,
511.35,98.903845,511.35,98.903845,,,,
513.35,99.63846,513.35,99.63846,,,,
515.35,100.373075,515.35,100.373075,,,,
517.35,101.10769,517.35,101.10769,,,,
519.35,101.842305,519.35,101.842305,,,,
521.35,102.57692,521.35,102.57692,,,,
523.35,103.311535,523.35,103.311535,,,,
525.35,104.04615,525.35,104.04615,,,,
527.35,104.780765,527.35,104.780765,,,,
529.35,105.51538,529.35,105.51538,,,,
531.35,106.249995,531.35,106.249995,,,,
533.35,106.98461,533.35,106.98461,,,,
535.35,107.719225,535.35,107.719225,,,,
537.35,108.45384,537.35,108.45384,,,,
539.35,109.188455,539.35,109.188455,,,,
541.35,109.92307,541.35,109.92307,,,,
543.35,110.657685,543.35,110.657685,,,,
545.35,111.3923,545.35,111.3923,,,,
547.35,112.126915,547.35,112.126915,,,,
549.35,112.86153,549.35,112.86153,,,,
551.35,113.596145,551.35,113.596145,,,,
553.35,114.33076,553.35,114.33076,,,,
555.35,115.065375,555.35,115.065375,,,,
557.35,115.5,557.35,115.5,,,,
559.99,115.8,559.99,115.8,,,,
559.99,116.8,559.99,116.8,,,,
559.99,117.8,559.99,117.8,,,,
559.99,118.8,559.99,118.8,,,,
559.99,119.8,559.99,119.8,,,,
559.99,120.05,559.99,120.05,,,,
