Station ,Elevation
103.39,37.99
103.4,33.5
147.2,14
226,9
249.51,8.09577
252,8
352,7
352.9,6.926745
438,0
440.69,0
448,0
543,6
544.08,6.045076
662.8,11
713.66,33.98
713.67,37.98
